Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country;,
Kata,11/15/2021 11:19,0:17:00,Autoplayed: user action: None; ,How I Met Your Mother: Season 4: Three Days of Snow (Episode 13),,Netflix Windows App - Cadmium Windows Mobile,0:17:00,0:17:00,EE (Estonia),
Kata,11/15/2021 10:40,0:21:36,,How I Met Your Mother: Season 4: Benefits (Episode 12),,Netflix Windows App - Cadmium Windows Mobile,0:21:36,0:21:36,EE (Estonia);,
Kata,11/15/2021 10:18,0:21:15,,How I Met Your Mother: Season 4: Little Minnesota (Episode 11),,Netflix Windows App - Cadmium Windows Mobile,0:21:15,0:21:15,EE (Estonia);,
Kata,11/15/2021 9:57,0:20:52,,How I Met Your Mother: Season 4: The Fight (Episode 10),,Netflix Windows App - Cadmium Windows Mobile,0:20:52,0:20:52,EE (Estonia);,
Kata,11/15/2021 9:36,0:21:12,,How I Met Your Mother: Season 4: The Naked Man (Episode 9),,Netflix Windows App - Cadmium Windows Mobile,0:21:12,0:21:12,EE (Estonia);,
Kata,11/15/2021 9:28,0:08:22,,How I Met Your Mother: Season 4: Woooo! (Episode 8),,Netflix Windows App - Cadmium Windows Mobile,0:21:27,0:21:27,EE (Estonia);,
Kata,11/14/2021 19:42,0:54:05,,Peaky Blinders: Season 3: Episode 5,,Apple iPhone X (GSM),0:55:25,0:55:25,EE (Estonia);,
Kata,11/14/2021 18:38,0:13:01,Autoplayed: user action: None; ,How I Met Your Mother: Season 4: Woooo! (Episode 8),,Chrome PC (Cadmium),0:13:05,Not latest view,EE (Estonia),
Kata,11/14/2021 18:10,0:19:12,,How I Met Your Mother: Season 4: Not a Father's Day (Episode 7),,Chrome PC (Cadmium),0:21:13,0:21:13,EE (Estonia);,
Kata,11/14/2021 17:19,0:01:57,Autoplayed: user action: None; ,How I Met Your Mother: Season 4: Not a Father's Day (Episode 7),,Chrome PC (Cadmium),0:02:00,Not latest view,EE (Estonia),
Kata,11/14/2021 16:59,0:20:08,,How I Met Your Mother: Season 4: Happily Ever After (Episode 6),,Chrome PC (Cadmium),0:20:12,0:20:12,EE (Estonia);,
Kata,11/14/2021 16:38,0:21:14,,How I Met Your Mother: Season 4: Shelter Island (Episode 5),,Chrome PC (Cadmium),0:21:15,0:21:15,EE (Estonia);,
Kata,11/14/2021 16:13,0:21:28,,How I Met Your Mother: Season 4: Intervention (Episode 4),,Chrome PC (Cadmium),0:21:30,0:21:30,EE (Estonia);,
Kata,11/14/2021 16:12,0:01:28,,How I Met Your Mother: Season 4: I Heart NJ (Episode 3),,Chrome PC (Cadmium),0:21:12,0:21:12,EE (Estonia);,
Kata,11/14/2021 15:57,0:53:53,,Peaky Blinders: Season 3: Episode 4,,Apple iPhone X (GSM),0:53:54,0:53:54,EE (Estonia);,
Kata,11/14/2021 14:46,0:56:58,,Peaky Blinders: Season 3: Episode 3,,Apple iPhone X (GSM),0:57:24,0:57:24,EE (Estonia);,
Kata,11/14/2021 14:22,1:40:40,,First Daughter,,Netflix Windows App - Cadmium Windows Mobile,1:40:40,1:40:40,EE (Estonia);,
Kata,11/14/2021 14:08,0:37:57,,Peaky Blinders: Season 3: Episode 2,,Apple iPhone X (GSM),0:57:00,0:57:00,EE (Estonia);,
Kata,11/14/2021 12:15,0:19:02,,Peaky Blinders: Season 3: Episode 2,,Chrome PC (Cadmium),0:19:03,Not latest view,EE (Estonia);,
Kata,11/14/2021 12:01,0:13:58,,Peaky Blinders: Season 3: Episode 1,,Chrome PC (Cadmium),0:55:09,0:55:09,EE (Estonia);,
Kata,11/14/2021 11:48,0:19:44,,How I Met Your Mother: Season 4: I Heart NJ (Episode 3),,Netflix Windows App - Cadmium Windows Mobile,0:19:44,Not latest view,EE (Estonia);,
Kata,11/14/2021 11:48,0:00:05,,How I Met Your Mother: Season 4: The Best Burger in New York (Episode 2),,Netflix Windows App - Cadmium Windows Mobile,0:21:35,0:21:35,EE (Estonia);,
Kata,11/14/2021 11:11,0:00:12,"Autoplayed: user action: None;"" ",Definitely," Maybe_hook_primary_16x9""""",HOOK,Netflix Windows App - Cadmium Windows Mobile,0:00:12,0:00:12,"EE (Estonia)"""
Kata,11/14/2021 10:22,0:48:57,,No Strings Attached,,Netflix Windows App - Cadmium Windows Mobile,1:43:32,1:43:32,EE (Estonia);,
Kata,11/14/2021 10:21,0:00:26,"Autoplayed: user action: None;"" ",Definitely," Maybe_hook_primary_16x9""""",HOOK,Netflix Windows App - Cadmium Windows Mobile,0:00:26,Not latest view,"EE (Estonia)"""
Kata,11/13/2021 22:14,0:54:13,,No Strings Attached,,Netflix Windows App - Cadmium Windows Mobile,0:54:37,Not latest view,EE (Estonia);,
Kata,11/13/2021 22:12,0:00:05,Autoplayed: user action: None; ,Stranger Things 1 (Trailer),TRAILER,Netflix Windows App - Cadmium Windows Mobile,0:00:05,0:00:05,EE (Estonia),
Kata,11/13/2021 21:59,0:12:57,,How I Met Your Mother: Season 4: The Best Burger in New York (Episode 2),,Chrome PC (Cadmium),0:13:00,Not latest view,EE (Estonia);,
Kata,11/13/2021 21:43,0:15:52,,How I Met Your Mother: Season 4: Do I Know You? (Episode 1),,Chrome PC (Cadmium),0:21:31,0:21:31,EE (Estonia);,
Kata,11/13/2021 20:12,1:25:04,,American Pie 2,,Chrome PC (Cadmium),1:44:33,1:44:33,EE (Estonia);,
